ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-26610880,P,Isoëtaceae,,Isoetes,,"storkii",,"","T.C. Palmer",Accepted,,M,TRO,26610880,,"Amer. Fern J.","22(4): 136","136","1932"
tro-50306729,P,Isoëtaceae,,Isoetes,,"subinermis",,"","Cesca",Unresolved,,L,TRO,50306729,,"","","",""
tro-26600174,P,Isoëtaceae,,Isoetes,,"taiwanensis",,"","De Vol",Accepted,,M,TRO,26600174,,"Taiwania","17(1): 1–7, f. 1","1","1972"
tro-26602057,P,Isoëtaceae,,Isoetes,,"tegetiformans",,"","Rury",Accepted,,M,TRO,26602057,130604-2,"Amer. Fern J.","68: 100–101","100","1978"
tro-50263574,P,Isoëtaceae,,Isoetes,,"tennesseensis",,"","Luebke & Budke",Unresolved,,L,TRO,50263574,329044-2,"Amer. Fern J.","93(4): 187, fig. 1, 2","187","2003"
tro-100368611,P,Isoëtaceae,,Isoetes,,"texana",,"","Singhurst, Rushing & W.C. Holmes",Unresolved,,L,TRO,100368611,77113368-1,"Phytoneuron","2011–22: 1–5, f. 1a–b, 2–3","1","2011"
tro-50225631,P,Isoëtaceae,,Isoetes,,"toximontana",,"","Musselman & J.P. Roux",Unresolved,,L,TRO,50225631,20009904-1,"Novon","12(4): 504–507, f. 1, 2","504","2002"
tro-26604258,P,Isoëtaceae,,Isoetes,,"transvaalensis",,"","Jermy & Schelpe",Accepted,,M,TRO,26604258,,"","","",""
tro-26614209,P,Isoëtaceae,,Isoetes,,"triangula",,"","U. Weber",Accepted,,M,TRO,26614209,130607-2,"Hedwigia","63: 253, f. 32, 33","253","1922"
tro-26604564,P,Isoëtaceae,,Isoetes,,"truncata",,"","(A.A. Eaton) Clute",Accepted,,M,TRO,26604564,130609-2,"Fern Allies","260","260","1905"
tro-50009792,P,Isoëtaceae,,Isoetes,,"tuberculata",,"","Gena & Bhardwaja",Unresolved,,L,TRO,50009792,324884-2,"","","",""
tro-26602058,P,Isoëtaceae,,Isoetes,,"tuckermanii",,"","A. Braun ex Engelm.",Accepted,,M,TRO,26602058,1134428-2,"Manual (ed. 5)","676","676","1867"
tro-26616644,P,Isoëtaceae,,Isoetes,,"tuerckheimii",,"","Brause",Unresolved,,L,TRO,26616644,130615-2,"Symb. Antill.","7(2): 161","161","1912"
tro-50284304,P,Isoëtaceae,,Isoetes,,"udupiensis",,"","P.K. Shukla, G.K. Srivast., S.K. Shukla & P.K. Rajagopal",Unresolved,,L,TRO,50284304,77065723-1,"Taxon","54(1): 112–113, f. 2","112","2005"
tro-26619708,P,Isoëtaceae,,Isoetes,,"velata",,"","A. Braun",Unresolved,,L,TRO,26619708,77052669-1,"Expl. Sci. Algérie","pl. 37, f. 1","","1846"
tro-26619711,P,Isoëtaceae,,Isoetes,,"velata",f.,"longissima","(Bory & Dur.) N. Pfeiff.",Unresolved,,L,TRO,26619711,,"Ann. Missouri Bot. Gard.","9(2): 120","120","1922"
tro-26619713,P,Isoëtaceae,,Isoetes,,"velata",var.,"perralderiana","(Dur. & LeTourn.) N. Pfeiff.",Unresolved,,L,TRO,26619713,,"Ann. Missouri Bot. Gard.","9(2): 121","121","1922"
tro-26609024,P,Isoëtaceae,,Isoetes,,"vermiculata",,"","Hickey",Accepted,,M,TRO,26609024,278945-2,"Ann. Missouri Bot. Gard.","76(4): 1160–1162, f. 1–3","1160","1989"
tro-26602059,P,Isoëtaceae,,Isoetes,,"virginica",,"","N. Pfeiff.",Accepted,,M,TRO,26602059,310706-2,"Claytonia","3(3): 29–30, f. 1","29","1937"
tro-26619672,P,Isoëtaceae,,Isoetes,,"weberi",,"","Herter",Unresolved,,L,TRO,26619672,,"","","",""
tro-26604259,P,Isoëtaceae,,Isoetes,,"welwitschii",,"","A. Braun ex Kuhn",Accepted,,M,TRO,26604259,,"Filic. Afr.","196","196","1868"
tro-26604261,P,Isoëtaceae,,Isoetes,,"wormaldii",,"","R. Sim",Accepted,,M,TRO,26604261,,"","","",""
tro-50226437,P,Isoëtaceae,,Isoetes,,"yunguiensis",,"","Wang Q.F. & W.C. Taylor",Accepted,,M,TRO,50226437,20009935-1,"Novon","12(4): 587–591, f. 1, 2","587","2002"
